Goal,Offering_days,Coin_Num,Team_Size,Country_Region,Category_Num,Overall_Rating,Team_Rating,Product_Rating,Platform,Accepting_Currency_Num,Whitepaper,Video,Social_Media,GitHub,Team_LinkedIn,Team_Photos,CEO_Photo
0,45.0,12750000,14,Estonia,4,2.6,2.4,2.4,1.0,1.0,1,1,0,0,0.86,1.0,0
0,31.0,0,13,Singapore,1,2.1,0.0,0.0,0.0,1.0,1,1,0,1,0.0,1.0,0
1,5.0,2220000000,9,Singapore,2,2.5,0.0,0.0,1.0,1.0,1,0,3,0,0.0,1.0,0
1,26.0,45000000,7,Mexico,11,2.1,1.0,2.0,1.0,2.0,1,0,0,0,0.0,1.0,1
1,1.0,80000000,20,Gibraltar,3,4.3,4.4,4.0,1.0,1.0,1,1,2,1,1.0,1.0,0
0,49.0,120000000,10,South Africa,5,3.5,3.3,3.3,1.0,1.0,1,1,3,1,0.9,1.0,1
0,30.0,10000000,4,Switzerland,2,2.5,0.0,0.0,1.0,1.0,1,1,0,1,1.0,1.0,1
1,30.0,51000000,22,UK,3,3.5,4.2,3.6,1.0,3.0,1,0,3,1,0.95,1.0,0
1,30.0,6000000,7,Russia,2,3.3,3.0,3.0,1.0,1.0,1,1,0,1,0.29,1.0,1
0,29.0,0,13,Estonia,4,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0.23,1.0,0
0,30.0,0,7,USA,3,2.1,1.0,1.0,1.0,1.0,1,0,3,1,0.0,0.57,0
1,28.0,30000000,12,Japan,1,2.3,0.0,0.0,1.0,3.0,1,1,0,0,0.0,1.0,1
0,28.0,0,4,UK,3,1.9,4.0,4.0,1.0,2.0,1,0,0,0,0.0,0.0,0
0,31.0,100000000,3,UAE,2,1.8,3.0,3.0,0.0,1.0,1,1,0,0,0.0,0.0,0
1,31.0,29999997,6,Switzerland,1,2.5,0.0,0.0,0.0,3.0,1,1,0,1,0.0,1.0,0
0,50.0,0,10,Russia,3,3.4,3.2,3.0,1.0,1.0,1,1,0,1,0.9,1.0,1
0,92.0,30000000,8,USA,1,2.3,0.0,0.0,1.0,1.0,1,1,0,0,0.88,1.0,0
0,84.0,0,8,Cyprus,3,2.8,0.0,0.0,1.0,4.0,1,0,0,1,0.5,1.0,0
1,4.0,187500000,14,USA,2,2.9,3.0,3.0,1.0,2.0,1,1,3,1,1.0,1.0,1
0,32.0,0,4,Bulgaria,1,1.5,0.0,0.0,0.0,10.0,1,0,0,0,0.0,1.0,0
0,28.0,400000000,1,Russia,1,1.3,1.0,1.0,0.0,3.0,1,0,0,0,0.0,1.0,1
1,32.0,3000000,9,UAE,1,2.8,0.0,0.0,1.0,2.0,1,1,0,1,0.0,1.0,0
0,17.0,142975000,23,USA,5,3.6,3.5,3.5,1.0,3.0,1,0,3,1,0.96,1.0,0
0,89.0,200000000,9,USA,5,3.9,4.6,4.3,1.0,7.0,1,1,0,0,1.0,0.88,1
1,30.0,24000000,11,Singapore,3,3.2,3.2,2.7,1.0,4.0,1,1,0,1,0.91,1.0,0
1,28.0,122400000,16,Cyprus,3,3.0,3.1,2.6,1.0,1.0,1,1,0,1,1.0,1.0,0
1,91.0,1,10,India,4,4.3,3.9,4.4,1.0,1.0,1,1,0,1,1.0,1.0,0
0,7.0,204000000,21,Isle of Man,5,4.1,5.0,4.6,1.0,1.0,1,1,0,0,0.9,1.0,0
0,45.0,21000000,4,Russia,1,2.1,2.3,2.3,1.0,1.0,1,0,0,0,0.5,1.0,0
0,27.0,0,10,Russia,5,3.0,3.0,3.2,1.0,3.0,1,1,0,1,0.6,1.0,0
0,45.0,139000000,6,Thailand,1,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
0,31.0,20000000,6,Russia,3,2.9,0.0,0.0,1.0,2.0,1,1,0,0,0.33,1.0,0
0,22.0,15000000,6,Seychelles,6,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
1,28.0,350000000,14,Slovenia,3,3.3,4.0,3.5,1.0,1.0,1,1,2,0,0.86,1.0,0
0,31.0,20000000,9,Latvia,3,3.8,3.7,3.9,1.0,1.0,1,1,0,1,0.89,1.0,0
0,48.0,192000000,16,Czech Republic,2,2.8,0.0,0.0,1.0,1.0,1,0,0,1,0.69,1.0,0
1,31.0,433494437,15,USA,2,2.6,0.0,0.0,1.0,2.0,1,1,3,1,1.0,1.0,1
1,0.0,1000000000,12,USA,1,2.8,5.0,4.5,1.0,1.0,1,1,3,0,0.0,1.0,1
0,44.0,363200000,15,Bulgaria,2,3.0,0.0,0.0,1.0,3.0,1,1,0,1,0.33,1.0,0
1,16.0,3000000000,17,Russia,4,3.1,3.5,3.0,1.0,3.0,1,1,0,1,0.29,1.0,0
1,77.0,21000000,13,Estonia,3,4.5,4.1,4.2,1.0,5.0,1,1,0,1,1.0,1.0,0
1,31.0,60000000,4,USA,1,2.3,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
0,171.0,10000000,6,Russia,2,2.1,3.0,2.0,0.0,3.0,1,0,0,0,0.0,1.0,0
1,31.0,500000000,13,Estonia,3,4.2,4.5,3.9,1.0,2.0,1,1,3,1,1.0,1.0,0
0,30.0,65000000,7,USA,3,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
1,29.0,185,9,Canada,2,2.6,0.0,0.0,1.0,2.0,1,1,0,0,0.0,1.0,1
1,28.0,700000000,21,Marshall Islands,10,4.4,4.7,4.2,1.0,1.0,1,1,3,1,0.95,1.0,0
1,28.0,750000000,11,Singapore,2,4.1,4.3,3.8,1.0,1.0,1,1,0,1,1.0,1.0,1
1,12.0,10000000,21,Singapore,4,4.3,4.3,4.2,1.0,2.0,1,1,0,1,0.95,1.0,0
0,14.0,800000,3,Belgium,1,1.9,0.0,0.0,1.0,1.0,1,1,0,1,0.0,1.0,0
0,30.0,50000000,9,India,1,2.9,3.2,3.1,1.0,2.0,1,1,0,1,1.0,1.0,0
0,30.0,0,8,USA,3,3.4,3.0,3.2,1.0,1.0,1,1,0,1,1.0,1.0,1
1,31.0,30000000,16,UAE,3,4.5,4.7,4.7,1.0,4.0,1,1,0,1,0.69,1.0,1
1,34.0,5000000000,42,Luxembourg,10,3.4,2.9,3.2,1.0,1.0,1,1,3,1,0.98,1.0,0
1,0.0,500000000,14,Switzerland,5,4.1,4.6,3.8,1.0,1.0,1,1,3,1,0.0,1.0,1
1,31.0,150000000,29,Estonia,2,4.1,4.4,4.0,1.0,1.0,1,1,0,1,0.66,1.0,0
0,61.0,0,11,Singapore,3,1.5,0.0,0.0,0.0,1.0,0,1,0,0,1.0,1.0,0
0,25.0,10000000,6,Singapore,2,1.6,2.0,1.0,1.0,2.0,1,0,0,0,0.0,1.0,0
1,10.0,10500000,13,Sweden,1,3.2,4.0,5.0,1.0,1.0,1,1,0,1,0.0,1.0,0
0,25.0,20000000,11,Russia,2,2.8,3.7,3.0,1.0,1.0,1,1,0,0,0.73,1.0,0
0,23.0,86400000,8,Hungary,2,2.5,0.0,0.0,1.0,4.0,1,1,0,0,1.0,1.0,0
0,30.0,300000000,6,USA,2,2.5,0.0,0.0,1.0,1.0,1,0,0,1,0.67,1.0,0
1,30.0,30000000,10,Slovenia,3,4.2,4.2,4.0,1.0,1.0,1,1,0,1,0.7,1.0,0
1,42.0,375000000,16,Slovenia,2,4.1,4.6,4.0,1.0,2.0,1,1,0,0,0.94,1.0,1
0,30.0,0,4,Ukraine,3,1.8,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,1
1,9.0,350000000,15,Estonia,4,4.0,4.0,4.0,1.0,4.0,1,0,0,0,1.0,1.0,0
1,28.0,45000000,7,Spain,7,2.8,0.0,0.0,1.0,1.0,1,0,0,1,0.71,1.0,0
0,61.0,0,4,Russia,1,1.4,2.0,2.0,0.0,1.0,0,0,0,0,0.0,1.0,0
0,30.0,105000000,11,Vietnam,3,2.3,0.0,0.0,0.0,1.0,1,0,0,1,0.64,1.0,0
1,30.0,11500000,23,Canada,1,3.1,0.0,0.0,0.0,2.0,1,1,3,0,0.0,1.0,1
1,42.0,10350000,6,Sweden,1,2.8,3.0,3.0,1.0,1.0,1,1,0,1,0.17,1.0,0
1,16.0,10000000000,21,Lithuania,1,3.5,3.2,2.0,1.0,1.0,1,1,0,0,0.86,0.86,0
0,26.0,300000000,8,Canada,2,1.6,0.0,0.0,1.0,1.0,0,0,0,1,0.0,1.0,0
1,30.0,600000000,13,Austria,2,3.7,4.5,3.9,1.0,1.0,1,1,2,1,1.0,1.0,1
0,60.0,75000000,12,Estonia,3,2.9,4.0,4.0,1.0,1.0,1,1,0,1,0.58,1.0,0
0,40.0,70000000,7,Latvia,1,2.9,0.0,0.0,1.0,1.0,1,0,0,0,1.0,1.0,1
0,30.0,600000000,15,Korea,4,2.4,0.0,0.0,1.0,1.0,1,0,0,0,0.47,1.0,1
1,46.0,3500000000,24,Japan,6,3.0,0.0,0.0,1.0,1.0,1,1,0,0,0.44,1.0,0
0,4.0,3200000000,9,Singapore,1,2.0,0.0,0.0,1.0,1.0,1,0,3,0,0.0,1.0,0
0,45.0,2250000000,4,Ukraine,2,2.3,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
1,45.0,75000000,19,USA,1,4.1,4.2,4.1,1.0,1.0,1,1,0,1,1.0,1.0,0
1,29.0,10000000,4,Panama,1,3.0,0.0,0.0,0.0,1.0,1,0,3,0,0.0,1.0,1
1,28.0,250000000,23,Estonia,1,2.9,0.0,0.0,1.0,1.0,1,0,0,0,0.43,1.0,1
1,76.0,22440000,5,UK,3,2.1,3.0,2.4,1.0,5.0,1,0,0,0,0.0,1.0,0
1,36.0,8700000,12,USA,2,2.4,3.5,3.2,1.0,1.0,0,1,0,0,1.0,1.0,0
1,90.0,24999999,22,UK,7,4.2,4.7,4.1,1.0,2.0,1,1,2,1,0.96,1.0,1
0,29.0,0,4,Malaysia,1,2.3,0.0,0.0,0.0,3.0,1,0,2,0,0.0,1.0,0
0,59.0,255200,8,Canada,4,2.9,3.0,3.0,1.0,1.0,1,1,0,1,1.0,1.0,0
1,27.0,1000000000,3,USA,2,2.5,0.0,0.0,1.0,1.0,1,1,0,1,0.0,1.0,0
0,16.0,7,15,Spain,6,4.3,4.3,4.2,1.0,2.0,1,1,0,1,0.86,1.0,0
0,27.0,500000000,9,USA,2,2.9,3.3,3.0,1.0,1.0,1,0,0,1,0.0,0.0,0
0,61.0,437000000,11,Slovenia,4,2.6,0.0,0.0,1.0,1.0,1,0,0,0,0.55,1.0,0
0,63.0,39999999,3,Russia,2,1.8,2.0,2.0,0.0,4.0,1,1,0,0,0.0,1.0,0
0,62.0,80,8,UK,5,2.4,3.5,2.7,0.0,2.0,1,1,0,0,0.88,1.0,1
1,30.0,8550000000,9,Singapore,1,2.4,0.0,0.0,1.0,2.0,1,1,0,0,0.63,1.0,0
0,27.0,72000000,12,UK,4,3.0,0.0,0.0,1.0,1.0,1,1,3,0,0.08,1.0,0
1,0.0,120000000,31,Slovenia,1,4.3,4.7,3.9,1.0,1.0,1,1,3,1,0.94,1.0,1
0,22.0,0,8,UK,2,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
1,30.0,3000000,22,Russia,2,3.3,3.0,3.0,1.0,5.0,1,1,0,1,0.59,1.0,1
0,60.0,245000000,6,Lithuania,1,2.2,1.6,1.6,1.0,1.0,1,1,0,1,1.0,1.0,1
0,32.0,0,10,Switzerland,2,2.3,0.0,0.0,1.0,1.0,1,1,0,0,0.9,1.0,0
0,69.0,0,12,UK,1,1.4,0.0,0.0,0.0,2.0,0,1,0,1,1.0,1.0,0
0,30.0,22000,10,Russia,3,2.9,3.5,4.1,1.0,3.0,1,1,0,0,0.2,1.0,1
0,25.0,800000000,3,USA,1,2.1,0.0,0.0,1.0,1.0,1,1,0,0,1.0,1.0,0
0,30.0,65000000,10,Malaysia,1,2.4,2.0,1.0,0.0,10.0,1,1,0,0,0.7,1.0,0
1,32.0,400000000,20,Switzerland,3,2.4,0.0,0.0,1.0,3.0,1,0,0,1,0.95,1.0,1
1,91.0,14000000,9,Laos,2,3.2,3.7,3.7,1.0,2.0,1,1,0,0,0.44,1.0,0
0,31.0,0,2,Georgia,2,1.9,0.0,0.0,0.0,1.0,1,1,0,0,0.0,1.0,0
0,28.0,250000000,21,Singapore,1,3.1,2.8,4.1,1.0,1.0,1,0,2,1,0.0,1.0,1
1,21.0,1500000000,16,UK,2,3.7,3.8,3.5,1.0,1.0,1,1,0,1,1.0,1.0,0
1,0.0,5100000000,13,China,4,3.7,3.5,3.3,0.0,1.0,1,1,0,1,0.85,1.0,0
0,44.0,100000000,6,Canada,1,2.6,2.7,2.7,1.0,5.0,1,1,0,0,1.0,1.0,1
0,28.0,1782692307,24,Germany,4,3.3,4.0,4.0,1.0,1.0,1,1,0,1,0.83,1.0,1
1,30.0,36900000,8,Netherland,4,3.5,0.0,0.0,1.0,1.0,1,0,3,0,0.88,1.0,1
1,31.0,350000000,15,USA,1,4.1,4.6,4.4,1.0,1.0,1,1,0,1,1.0,1.0,1
0,39.0,42000000,12,Luxembourg,5,2.3,1.8,1.3,1.0,3.0,1,0,0,0,0.91,1.0,0
0,28.0,0,7,Russia,2,2.8,0.0,0.0,0.0,1.0,1,0,3,0,0.57,1.0,1
0,30.0,6000000000,3,USA,2,2.1,0.0,0.0,1.0,1.0,1,1,0,1,1.0,1.0,0
1,85.0,400000000,40,Gibraltar,1,4.0,4.4,3.7,1.0,2.0,1,1,3,1,0.58,0.9,1
1,30.0,425000000,18,Brazil,4,4.3,4.4,4.1,1.0,1.0,1,1,0,1,1.0,1.0,0
1,14.0,9,14,Singapore,3,3.2,3.0,3.0,1.0,1.0,1,1,3,1,0.54,1.0,1
0,31.0,54600000,19,Canada,1,3.4,3.6,3.2,1.0,1.0,1,1,3,1,0.74,0.95,0
0,65.0,0,4,Sweden,1,1.7,1.0,1.0,1.0,1.0,1,0,0,0,0.0,1.0,0
1,68.0,55000000,19,UK,7,4.6,4.8,4.4,0.0,3.0,1,1,3,1,1.0,1.0,0
0,30.0,100000000,8,Germany,4,2.4,0.0,0.0,1.0,2.0,1,0,0,0,0.25,1.0,0
1,30.0,12500000,18,Gibraltar,6,3.0,3.7,2.1,1.0,2.0,1,1,0,1,0.94,1.0,0
1,10.0,18,4,Singapore,1,3.4,3.4,2.4,1.0,1.0,1,1,0,1,0.0,1.0,0
1,90.0,3000000000,17,USA,2,2.6,0.0,0.0,1.0,1.0,1,1,0,0,1.0,0.71,1
1,40.0,570500000,32,Slovenia,3,4.1,3.7,4.2,1.0,1.0,1,1,0,1,0.72,1.0,0
1,21.0,110000000,18,Indonesia,4,3.4,0.0,0.0,1.0,2.0,1,1,0,1,0.0,1.0,0
1,31.0,240000000000,25,Netherland,1,3.7,4.3,3.5,1.0,1.0,1,1,0,1,0.85,1.0,1
1,27.0,395000000,17,France,14,3.6,3.9,2.5,0.0,2.0,1,1,0,1,1.0,1.0,1
0,44.0,85000000,6,UK,1,2.6,0.0,0.0,1.0,3.0,1,1,0,0,1.0,1.0,0
0,26.0,0,7,UK,1,2.9,2.0,2.6,0.0,1.0,1,1,2,1,1.0,1.0,0
0,59.0,150000000,11,UK,1,2.5,0.0,0.0,1.0,3.0,1,1,0,0,1.0,1.0,0
1,119.0,14250000,8,Switzerland,2,3.8,0.0,0.0,1.0,3.0,1,1,3,1,0.5,1.0,0
1,56.0,650000000,13,UK,1,3.4,3.0,3.1,1.0,4.0,1,1,0,1,0.62,1.0,1
1,30.0,124500000,10,Switzerland,6,3.0,3.2,3.3,1.0,3.0,1,1,0,0,0.0,1.0,0
0,50.0,50000000,2,Germany,3,2.3,1.0,1.0,1.0,1.0,1,0,3,1,1.0,0.0,0
0,41.0,70000000,10,Austria,2,2.1,2.3,2.0,1.0,1.0,1,0,0,0,0.67,0.78,0
1,13.0,150000000,20,USA,1,4.0,4.4,3.6,1.0,1.0,1,0,0,1,1.0,1.0,1
0,28.0,100000000,11,Mexico,3,3.0,5.0,4.0,1.0,1.0,1,1,0,1,1.0,1.0,0
0,30.0,20000000,5,Canada,1,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
0,20.0,0,5,Bulgaria,1,2.1,0.0,0.0,1.0,1.0,1,0,0,0,1.0,1.0,0
1,2.0,250000000,15,Slovenia,3,3.8,4.1,3.2,1.0,1.0,1,1,3,1,1.0,1.0,0
0,0.0,55000000,7,USA,1,2.5,5.0,5.0,1.0,1.0,0,1,3,0,0.0,1.0,0
1,60.0,500000000,9,Russia,4,2.3,0.0,0.0,1.0,1.0,1,0,0,1,0.11,1.0,0
0,43.0,30000000,4,USA,5,1.3,0.0,0.0,1.0,1.0,1,0,0,0,0.0,0.0,0
0,30.0,330000000,3,USA,2,2.4,3.0,2.0,1.0,1.0,1,0,0,1,1.0,1.0,0
1,0.0,53252246,5,UK,1,3.1,0.0,0.0,1.0,1.0,1,0,0,1,1.0,1.0,0
0,14.0,150000,4,Japan,2,1.9,2.0,2.0,1.0,1.0,1,0,0,0,1.0,0.0,0
0,42.0,65000000,1,UK,4,1.7,1.0,1.0,1.0,2.0,1,0,0,0,1.0,0.0,0
0,30.0,50000000,6,India,3,2.8,3.0,4.0,1.0,1.0,1,1,0,1,0.5,1.0,0
0,204.0,60000000,7,USA,3,2.5,0.0,0.0,1.0,1.0,1,0,0,1,0.43,1.0,0
1,0.0,87000000,10,France,1,3.1,0.0,0.0,0.0,2.0,1,1,2,0,0.9,0.0,0
0,26.0,2700000,3,india,1,1.5,0.0,0.0,0.0,1.0,1,1,0,0,1.0,1.0,0
0,59.0,10500000,5,UK,2,2.4,2.0,2.0,0.0,5.0,1,0,0,1,1.0,0.6,1
1,52.0,165000000,18,Gibraltar,3,3.2,3.6,2.5,1.0,1.0,1,1,3,1,1.0,1.0,0
1,55.0,64000000,14,Lithuania,5,3.4,3.4,3.2,1.0,4.0,1,1,0,1,0.88,1.0,0
0,35.0,130000000,12,Seychelles,1,1.8,1.0,1.0,1.0,1.0,1,0,0,0,0.0,1.0,0
1,28.0,15000000000,8,USA,1,3.6,5.0,5.0,1.0,8.0,1,1,2,1,0.5,1.0,1
0,8.0,200000000,20,Denmark,2,2.4,3.0,3.0,1.0,3.0,1,0,0,0,0.0,0.8,0
1,28.0,31000000,14,Switzerland,1,4.2,4.7,4.3,1.0,1.0,1,1,3,1,0.79,0.93,1
1,31.0,73270000,14,UK,2,3.7,4.0,3.3,1.0,1.0,1,1,0,1,1.0,1.0,1
1,30.0,60000000,16,Australia,4,2.9,3.0,2.9,1.0,1.0,1,1,0,1,1.0,1.0,1
1,35.0,40000000,14,Estonia,2,3.7,3.6,2.5,1.0,1.0,1,1,2,1,0.89,1.0,1
1,46.0,40000000,24,Russia,2,4.3,4.5,4.7,1.0,6.0,1,1,2,0,0.25,1.0,1
0,21.0,200000000,6,Russia,3,2.0,1.6,1.4,1.0,1.0,1,0,0,0,0.0,1.0,0
1,14.0,7000000,10,Switzerland,1,3.4,3.5,2.8,1.0,1.0,1,1,2,1,1.0,1.0,0
0,42.0,0,7,Russia,1,2.4,0.0,0.0,1.0,1.0,1,0,0,0,0.43,0.86,0
0,55.0,141,18,Belarus,6,3.5,3.2,2.9,1.0,5.0,1,1,0,1,1.0,1.0,0
0,46.0,50000000,2,USA,3,2.1,0.0,0.0,1.0,8.0,1,1,1,0,0.5,1.0,1
0,31.0,1500000000,6,UK,6,1.9,0.0,0.0,1.0,1.0,1,0,0,0,0.0,1.0,0
0,28.0,0,3,Russia,1,1.8,0.0,0.0,0.0,1.0,1,0,0,0,0.0,1.0,0
1,7.0,904000000,19,Slovenia,5,3.6,3.7,2.9,1.0,1.0,1,1,0,0,1.0,1.0,0
0,14.0,0,7,Singapore,4,1.7,3.0,2.2,0.0,1.0,1,1,0,0,0.0,1.0,0
1,36.0,9325000,5,USA,1,2.9,0.0,0.0,1.0,1.0,1,1,0,1,0.43,1.0,0
1,34.0,80000000,5,Malta,2,3.0,4.1,3.4,1.0,1.0,1,1,0,1,1.0,1.0,0
1,68.0,160000000,17,USA,1,3.5,3.4,3.2,1.0,2.0,1,1,0,1,1.0,1.0,0
1,59.0,66666666,19,Estonia,2,3.8,4.0,4.2,1.0,1.0,1,1,0,1,0.37,1.0,1
1,31.0,200000000,9,Argentina,3,3.5,4.0,4.0,1.0,1.0,1,1,3,0,1.0,1.0,0
0,21.0,18000000,13,Ukraine,4,1.8,1.8,1.3,1.0,1.0,0,1,0,1,0.31,1.0,0
1,38.0,3000000000,37,Singapore,10,4.3,4.3,4.3,1.0,1.0,1,1,0,1,0.68,0.7,0
1,30.0,1000000000,16,Russia,2,3.8,5.0,5.0,1.0,3.0,1,1,0,1,0.88,1.0,1
1,7.0,325000000,13,USA,2,4.1,4.3,3.8,1.0,3.0,1,1,3,1,1.0,1.0,1
1,30.0,342000000,19,Singapore,7,3.7,3.8,3.4,1.0,1.0,1,1,0,1,0.95,1.0,0
1,150.0,350,2,Estonia,4,3.4,3.0,3.0,1.0,1.0,1,1,0,0,1.0,1.0,1
0,31.0,112000000,7,Kyrgyzstan,1,1.9,0.0,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0
0,30.0,1950000,6,Singapore,1,2.3,1.6,2.3,1.0,1.0,1,0,0,1,0.83,1.0,0
0,20.0,3250000,21,Spain,1,3.3,3.0,1.0,1.0,1.0,1,0,0,1,0.9,1.0,0
0,30.0,1240000000000,4,Israel,3,2.9,0.0,0.0,1.0,1.0,1,1,0,1,1.0,1.0,0
0,8.0,0,2,UK,2,1.6,2.0,2.0,1.0,1.0,1,0,0,0,1.0,1.0,0
0,49.0,175,13,Czech Republic,6,2.3,0.0,0.0,0.0,1.0,1,1,0,1,0.0,0.62,0
0,60.0,0,18,Russia,1,2.5,0.0,0.0,1.0,1.0,1,0,0,1,0.0,1.0,0
1,30.0,10000000,7,Russia,2,2.8,3.0,3.0,1.0,1.0,1,1,0,1,0.71,1.0,0
1,90.0,1000000000,11,South Africa,2,3.4,3.5,3.5,1.0,1.0,1,1,0,0,1.0,1.0,1
0,32.0,5000000,8,USA,2,3.0,0.0,0.0,1.0,1.0,1,1,3,1,0.93,1.0,1
0,45.0,12000000,13,Australia,1,2.3,3.0,3.0,1.0,2.0,1,1,0,1,1.0,1.0,0
0,18.0,50000000,8,Liechtenstein,1,4.3,4.7,4.1,1.0,4.0,1,0,0,1,1.0,1.0,0
1,31.0,33000000,33,Switzerland,1,3.6,4.0,3.2,1.0,4.0,1,1,0,1,0.88,1.0,0
1,30.0,100000000,8,Malta,2,2.5,2.0,2.0,1.0,1.0,1,1,0,0,0.38,1.0,0
1,20.0,1200000,17,Slovenia,5,3.9,3.9,3.4,1.0,1.0,1,1,3,1,0.88,1.0,1
0,32.0,65000000,11,UK,2,3.2,4.4,3.8,1.0,1.0,1,1,0,1,0.0,1.0,0
1,0.0,200000000,17,UK,1,4.4,4.5,4.1,1.0,2.0,1,1,2,0,1.0,1.0,0
1,61.0,4750000000,23,Philippines,3,3.7,4.6,3.7,0.0,3.0,1,1,1,0,0.43,1.0,0
0,30.0,25,11,France,2,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0.36,1.0,0
1,19.0,20000000,10,Singapore,3,3.4,4.1,3.2,1.0,1.0,1,1,0,1,1.0,1.0,0
1,18.0,21000000,4,Latvia,1,1.8,0.0,0.0,1.0,2.0,1,0,0,0,0.0,1.0,1
1,60.0,53760000,18,Seychelles,1,4.2,4.5,4.0,1.0,1.0,1,1,0,1,0.94,1.0,0
1,28.0,56000000,7,Switzerland,3,2.6,0.0,0.0,1.0,1.0,1,1,0,1,0.0,1.0,1
1,29.0,200000000,24,Singapore,2,2.9,0.0,0.0,1.0,1.0,1,1,3,0,0.97,1.0,1
0,31.0,0,4,Netherland,1,2.0,1.0,1.0,0.0,2.0,1,0,0,0,1.0,1.0,0
0,29.0,142000000,15,Russia,1,3.5,4.0,3.7,1.0,5.0,1,1,2,1,0.87,1.0,0
0,25.0,0,2,Netherland,6,2.0,2.0,2.0,1.0,2.0,1,0,0,0,1.0,0.0,0
1,51.0,12000000,16,Cyprus,4,3.0,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
0,71.0,49978560,12,Bulgaria,3,3.2,3.6,3.6,1.0,1.0,1,1,0,1,0.0,0.0,0
0,68.0,1400000000,4,Singapore,16,2.3,0.0,0.0,1.0,1.0,1,0,0,1,0.0,1.0,0
0,58.0,80000000,8,Croatia,1,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.88,1.0,0
0,61.0,9000000,4,USA,1,2.4,0.0,0.0,1.0,2.0,1,0,0,0,0.75,1.0,0
1,73.0,720000,4,Guinea-Bissau,4,2.3,0.0,0.0,1.0,1.0,1,0,3,0,1.0,1.0,1
0,117.0,49,7,UK,7,2.7,2.4,1.7,1.0,1.0,1,0,0,1,0.0,0.0,0
1,29.0,3141592653,9,Singapore,2,2.4,0.0,0.0,1.0,1.0,1,0,1,0,0.0,1.0,0
0,31.0,0,7,USA,2,1.8,0.0,0.0,1.0,1.0,0,1,0,0,1.0,1.0,0
0,43.0,0,17,Ireland,2,2.7,3.8,3.1,1.0,1.0,1,1,0,1,0.41,0.59,1
1,41.0,14000000,21,Russia,5,4.4,4.4,4.1,1.0,2.0,1,1,2,1,0.86,1.0,0
1,28.0,3141592653,9,Singapore,1,3.1,3.0,4.0,1.0,2.0,1,1,2,1,0.0,1.0,0
1,36.0,6300000000,14,UK,1,4.0,4.4,4.2,0.0,2.0,1,1,3,1,0.79,1.0,0
1,25.0,66000000,11,Switzerland,1,3.5,3.3,3.3,1.0,2.0,1,1,0,0,1.0,1.0,0
1,21.0,400000000,12,UK,3,3.6,4.3,3.2,1.0,2.0,1,1,3,1,1.0,1.0,0
1,28.0,350000000,17,Australia,1,3.4,3.0,3.0,1.0,1.0,1,1,3,0,0.12,1.0,0
1,29.0,140714286,9,Georgia,5,3.9,4.4,4.0,1.0,4.0,1,1,3,1,1.0,1.0,1
1,30.0,5500000000,6,Switzerland,1,2.8,0.0,0.0,1.0,2.0,1,0,0,0,1.0,1.0,0
0,30.0,1280000000,10,UAE,1,2.6,0.0,0.0,1.0,2.0,1,1,0,1,0.0,1.0,1
0,30.0,0,11,Gibraltar,1,2.5,3.0,2.3,1.0,2.0,1,0,0,1,0.0,1.0,0
